external_ID,CDD_name,molecule_ID,batch_ID,canonical_CID,virtual_project,for_synthesis_project,made_project
ANT-OPE-ab37bd51-2,CVD-0000182,75708324,76911961,ANT-OPE-ab37bd51-2,True,True,True
ANT-OPE-b90194ad-1,CVD-0000183,75708325,76911962,ANT-OPE-b90194ad-1,True,False,False
ANT-OPE-c0c3e7cc-1,CVD-0000184,75708326,76911963,ANT-OPE-c0c3e7cc-1,True,True,True
ANT-OPE-d972fbad-1,CVD-0000185,75708327,76911964,ANT-OPE-d972fbad-1,True,True,False
ANT-STE-dbb91f63-1,CVD-0000186,75708328,76911965,ANT-STE-dbb91f63-1,True,True,False
ANT-STE-dbb91f63-2,CVD-0000187,75708329,76911966,ANT-STE-dbb91f63-2,True,False,False
ANT-STE-dbb91f63-3,CVD-0000188,75708330,76911967,ANT-STE-dbb91f63-3,True,False,False
ATU-SYN-3e3fbfe4-1,CVD-0000189,75708331,76911968,ATU-SYN-3e3fbfe4-1,True,False,False
AUS-ARG-7cfdce8f-1,CVD-0000190,75708332,76911969,AUS-ARG-7cfdce8f-1,True,False,False
AUS-ARG-7cfdce8f-10,CVD-0000191,75708333,76911970,AUS-ARG-7cfdce8f-10,True,False,False
AUS-ARG-7cfdce8f-11,CVD-0000192,75708334,76911971,AUS-ARG-7cfdce8f-11,True,True,False
AUS-ARG-7cfdce8f-12,CVD-0000193,75708335,76911972,AUS-ARG-7cfdce8f-12,True,False,False
AUS-ARG-7cfdce8f-13,CVD-0000194,75708336,76911973,AUS-ARG-7cfdce8f-13,True,True,False
AUS-ARG-7cfdce8f-14,CVD-0000195,75708337,76911974,AUS-ARG-7cfdce8f-14,True,False,False
AUS-ARG-7cfdce8f-15,CVD-0000196,75708338,76911975,AUS-ARG-7cfdce8f-15,True,True,True
AUS-ARG-7cfdce8f-16,CVD-0000197,75708339,76911976,AUS-ARG-7cfdce8f-16,True,False,False
AUS-ARG-7cfdce8f-17,CVD-0000198,75708340,76911977,AUS-ARG-7cfdce8f-17,True,False,False
AUS-ARG-7cfdce8f-18,CVD-0000199,75708341,76911978,AUS-ARG-7cfdce8f-18,True,False,False
AUS-ARG-7cfdce8f-2,CVD-0000200,75708342,76911979,AUS-ARG-7cfdce8f-2,True,False,False
AUS-ARG-7cfdce8f-3,CVD-0000201,75708343,76911980,AUS-ARG-7cfdce8f-3,True,False,False
AUS-ARG-7cfdce8f-4,CVD-0000202,75708344,76911981,AUS-ARG-7cfdce8f-4,True,False,False
AUS-ARG-7cfdce8f-5,CVD-0000203,75708345,76911982,AUS-ARG-7cfdce8f-5,True,False,False
AUS-ARG-7cfdce8f-6,CVD-0000204,75708346,76911983,AUS-ARG-7cfdce8f-6,True,False,False
