SMILES,IC50 (µM),IC50 CI (Lower) (µM),IC50 CI (Upper) (µM),Hill slope,R squared,Concentration (µM),Inhibition (%),CID
Cc1ccncc1NC(=O)Nc1cccc(Cl)c1,68,61.3,75.5,0.99,0.986,1.24,6.94,TRY-UNI-714a760b-12
Cc1ccncc1NC(=O)Nc1cccc(Cl)c1,68,61.3,75.5,0.99,0.986,6.19,8.8,TRY-UNI-714a760b-12
Cc1ccncc1NC(=O)Nc1cccc(Cl)c1,68,61.3,75.5,0.99,0.986,6.19,10.1,TRY-UNI-714a760b-12
Cc1ccncc1NC(=O)Nc1cccc(Cl)c1,68,61.3,75.5,0.99,0.986,12.4,16.9,TRY-UNI-714a760b-12
Cc1ccncc1NC(=O)Nc1cccc(Cl)c1,68,61.3,75.5,0.99,0.986,12.4,16.9,TRY-UNI-714a760b-12
Cc1ccncc1NC(=O)Nc1cccc(Cl)c1,68,61.3,75.5,0.99,0.986,24.8,25.8,TRY-UNI-714a760b-12
Cc1ccncc1NC(=O)Nc1cccc(Cl)c1,68,61.3,75.5,0.99,0.986,24.8,26.8,TRY-UNI-714a760b-12
Cc1ccncc1NC(=O)Nc1cccc(Cl)c1,68,61.3,75.5,0.99,0.986,49.5,38.0,TRY-UNI-714a760b-12
Cc1ccncc1NC(=O)Nc1cccc(Cl)c1,68,61.3,75.5,0.99,0.986,49.5,44.2,TRY-UNI-714a760b-12
Cc1ccncc1NC(=O)Nc1cccc(Cl)c1,68,61.3,75.5,0.99,0.986,99.0,58.8,TRY-UNI-714a760b-12
Cc1ccncc1NC(=O)Nc1cccc(Cl)c1,68,61.3,75.5,0.99,0.986,99.0,61.5,TRY-UNI-714a760b-12
C=CC(=O)N(c1ccc(C(F)(F)F)cc1)C(C(=O)Nc1c(C)cccc1CC)c1cccnc1,97.8,66.0,145.0,1.36,0.813,1.24,-18.4,LON-WEI-b8d98729-39
C=CC(=O)N(c1ccc(C(F)(F)F)cc1)C(C(=O)Nc1c(C)cccc1CC)c1cccnc1,97.8,66.0,145.0,1.36,0.813,1.24,-15.4,LON-WEI-b8d98729-39
C=CC(=O)N(c1ccc(C(F)(F)F)cc1)C(C(=O)Nc1c(C)cccc1CC)c1cccnc1,97.8,66.0,145.0,1.36,0.813,6.19,-15.3,LON-WEI-b8d98729-39
C=CC(=O)N(c1ccc(C(F)(F)F)cc1)C(C(=O)Nc1c(C)cccc1CC)c1cccnc1,97.8,66.0,145.0,1.36,0.813,6.19,-8.47,LON-WEI-b8d98729-39
C=CC(=O)N(c1ccc(C(F)(F)F)cc1)C(C(=O)Nc1c(C)cccc1CC)c1cccnc1,97.8,66.0,145.0,1.36,0.813,0.772,-3.76,LON-WEI-b8d98729-39
C=CC(=O)N(c1ccc(C(F)(F)F)cc1)C(C(=O)Nc1c(C)cccc1CC)c1cccnc1,97.8,66.0,145.0,1.36,0.813,0.772,-2.22,LON-WEI-b8d98729-39
C=CC(=O)N(c1ccc(C(F)(F)F)cc1)C(C(=O)Nc1c(C)cccc1CC)c1cccnc1,97.8,66.0,145.0,1.36,0.813,3.71,1.13,LON-WEI-b8d98729-39
C=CC(=O)N(c1ccc(C(F)(F)F)cc1)C(C(=O)Nc1c(C)cccc1CC)c1cccnc1,97.8,66.0,145.0,1.36,0.813,3.71,1.4,LON-WEI-b8d98729-39
C=CC(=O)N(c1ccc(C(F)(F)F)cc1)C(C(=O)Nc1c(C)cccc1CC)c1cccnc1,97.8,66.0,145.0,1.36,0.813,12.4,8.74,LON-WEI-b8d98729-39
