SMILES,external_ID,shipment_ID,catalog_ID,sample_MW,purity,volume(uL),concentration(mM),plate_ID,well,stereochemistry,CID
O=C(C1CCN(C(CCl)=O)CC1)N2CC(C3=NC(CCC)=NN3)OCC2,LON-WEI-120e5cf5-8,PG-COV-22,PG-COV-22,,,20,,,A8,,LON-WEI-120e5cf5-8
O=C(C1CCN(C(CCl)=O)CC1)NC2=CC=C3C(NC4=C3C=CC=C4)=C2,LON-WEI-120e5cf5-9,PG-COV-6,PG-COV-6,,,20,,,A9,,LON-WEI-120e5cf5-9
O=C(C1CCN(C(CCl)=O)CC1)NC2=CC=C(C(C)=O)C=C2,LON-WEI-120e5cf5-10,PG-COV-30,PG-COV-30,,,20,,,A10,,LON-WEI-120e5cf5-10
O=C(C1CCN(C(CCl)=O)CC1)NC2=CN=CC=C2,LON-WEI-120e5cf5-11,PG-COV-43,PG-COV-43,,,20,,,A11,,LON-WEI-120e5cf5-11
O=C(C1CCN(C(CCl)=O)CC1)NC2=NN(C3=CC=CC=C3)C=C2,LON-WEI-120e5cf5-12,PG-COV-19,PG-COV-19,,,20,,,A12,,LON-WEI-120e5cf5-12
O=C(C1CCN(C(CCl)=O)CC1)NC2=NC=CC(C)=C2,LON-WEI-120e5cf5-13,PG-COV-38,PG-COV-38,,,20,,,A13,,LON-WEI-120e5cf5-13
O=C(C1CCN(C(CCl)=O)CC1)NC2=C(C=CC=C3)C3=NC(Cl)=C2,LON-WEI-120e5cf5-14,PG-COV-17,PG-COV-17,,,20,,,A14,,LON-WEI-120e5cf5-14
CC(C)(C)C1=CC=C(C=C1)N(C(C(NC(C)(C)C)=O)C2=CC=CN=C2)C(C=C)=O,LON-WEI-8f4-8,Ugi-aa-1,Ugi-aa-1,,,20,,,A15,,LON-WEI-8f408cad-8
O=C(C1CCN(C(CCl)=O)CC1)NC2=CC=CC=C2,LON-WEI-120e5cf5-15,PG-COV-2,PG-COV-2,,,20,,,A16,,LON-WEI-120e5cf5-15
O=C(C1CCN(C(CCl)=O)CC1)NC2=C(Br)C=CC=C2,LON-WEI-120e5cf5-16,PG-COV-35,PG-COV-35,,,20,,,A17,,LON-WEI-120e5cf5-16
O=C(C1CCN(C(CCl)=O)CC1)NC2=CC=C(OC)N=C2,AAR-POS-5507155c-2,PG-COV-42,PG-COV-42,,,20,,,A18,,AAR-POS-5507155c-2
O=C(C1CCN(C(CCl)=O)CC1)NC2=CNC3=C2C=C(Br)C=C3,LON-WEI-120e5cf5-18,PG-COV-14,PG-COV-14,,,20,,,A19,,LON-WEI-120e5cf5-18
O=C(C1CCN(C(CCl)=O)CC1)NC2=CC(C(C)=O)=CC=C2,LON-WEI-120e5cf5-19,PG-COV-31,PG-COV-31,,,20,,,A20,,LON-WEI-120e5cf5-19
O=C(C1CCN(C(CCl)=O)CC1)NC2=CC=C(Cl)C=C2,LON-WEI-120e5cf5-20,PG-COV-36,PG-COV-36,,,20,,,A21,,LON-WEI-120e5cf5-20
O=C(C1CCN(C(CCl)=O)CC1)NC2=NC=CC=C2C,LON-WEI-120e5cf5-21,PG-COV-39,PG-COV-39,,,20,,,A22,,LON-WEI-120e5cf5-21
